Country Code,Country Name,Year,Population,Total Affected,Prevalence Rate %,Drug OD Deaths,Opioid Deaths,Alcohol Deaths,Treatment Centers,Treatment Gap %,Economic Cost (B),Primary Source,Verified
AFG,Afghanistan,2019,41130000,749525,1.82,285,171,16060,82,89.8,17.0,WHO SEARO/WPRO Reports 2024,NO
AFG,Afghanistan,2020,41130000,668750,1.63,254,152,14329,82,78.2,14.9,WHO SEARO/WPRO Reports 2024,NO
AFG,Afghanistan,2021,41130000,620014,1.51,235,141,13285,82,70.7,13.5,WHO SEARO/WPRO Reports 2024,NO
AFG,Afghanistan,2022,41130000,825187,2.01,313,188,17682,82,90.9,17.6,WHO SEARO/WPRO Reports 2024,NO
AFG,Afghanistan,2023,41130000,758195,1.84,288,172,16247,82,81.5,15.8,WHO SEARO/WPRO Reports 2024,NO
AFG,Afghanistan,2024,41130000,647811,1.58,245,147,13880,82,67.8,13.2,WHO SEARO/WPRO Reports 2024,NO
AFG,Afghanistan,2025,41130000,955681,2.32,364,218,20478,82,97.4,19.1,WHO SEARO/WPRO Reports 2024,NO
AGO,Angola,2019,35590000,881970,2.48,377,226,18268,71,95.5,20.0,WHO AFRO Health Statistics 2024,NO
AGO,Angola,2020,35590000,1052539,2.96,450,270,21802,71,100,23.4,WHO AFRO Health Statistics 2024,NO
AGO,Angola,2021,35590000,1152978,3.24,494,296,23882,71,100.0,25.1,WHO AFRO Health Statistics 2024,NO
AGO,Angola,2022,35590000,946761,2.66,405,243,19611,71,94.5,20.1,WHO AFRO Health Statistics 2024,NO
AGO,Angola,2023,35590000,1034368,2.91,442,265,21425,71,99.0,21.5,WHO AFRO Health Statistics 2024,NO
AGO,Angola,2024,35590000,999012,2.81,427,256,20693,71,94.6,20.4,WHO AFRO Health Statistics 2024,NO
AGO,Angola,2025,35590000,952001,2.67,408,244,19720,71,87.9,19.0,WHO AFRO Health Statistics 2024,NO
ALB,Albania,2019,2870000,66043,2.3,41,24,1603,10,59.0,1.5,EMCDDA European Drug Report 2024,NO
ALB,Albania,2020,2870000,88092,3.07,54,32,2139,10,75.6,2.0,EMCDDA European Drug Report 2024,NO
ALB,Albania,2021,2870000,91093,3.17,57,34,2211,10,75.9,2.0,EMCDDA European Drug Report 2024,NO
ALB,Albania,2022,2870000,84083,2.93,52,31,2041,10,68.3,1.8,EMCDDA European Drug Report 2024,NO
ALB,Albania,2023,2870000,105013,3.66,65,39,2549,10,82.7,2.2,EMCDDA European Drug Report 2024,NO
ALB,Albania,2024,2870000,90124,3.14,55,33,2188,10,69.2,1.8,EMCDDA European Drug Report 2024,NO
ALB,Albania,2025,2870000,129795,4.52,81,48,3152,10,96.9,2.6,EMCDDA European Drug Report 2024,NO
AND,Andorra,2019,77000,3031,3.94,1,1,73,10,98.9,0.1,EMCDDA European Drug Report 2024,NO
AND,Andorra,2020,77000,2096,2.72,0,0,50,10,67.3,0.0,EMCDDA European Drug Report 2024,NO
AND,Andorra,2021,77000,2311,3.0,0,0,56,10,71.9,0.1,EMCDDA European Drug Report 2024,NO
AND,Andorra,2022,77000,2832,3.68,0,0,68,10,85.4,0.1,EMCDDA European Drug Report 2024,NO
AND,Andorra,2023,77000,2566,3.33,0,0,61,10,75.4,0.1,EMCDDA European Drug Report 2024,NO
AND,Andorra,2024,77000,2838,3.69,0,0,68,10,81.1,0.1,EMCDDA European Drug Report 2024,NO
AND,Andorra,2025,77000,2935,3.81,1,0,71,10,81.7,0.1,EMCDDA European Drug Report 2024,NO
ARE,United Arab Emirates,2019,9440000,194593,2.06,73,44,4169,18,100,4.4,WHO SEARO/WPRO Reports 2024,NO
ARE,United Arab Emirates,2020,9440000,191452,2.03,72,43,4102,18,96.9,4.3,WHO SEARO/WPRO Reports 2024,NO
ARE,United Arab Emirates,2021,9440000,203459,2.16,77,46,4358,18,100.0,4.4,WHO SEARO/WPRO Reports 2024,NO
ARE,United Arab Emirates,2022,9440000,149075,1.58,56,33,3194,18,71.9,3.2,WHO SEARO/WPRO Reports 2024,NO
ARE,United Arab Emirates,2023,9440000,210412,2.23,79,47,4508,18,98.3,4.4,WHO SEARO/WPRO Reports 2024,NO
ARE,United Arab Emirates,2024,9440000,212832,2.25,80,48,4559,18,96.9,4.3,WHO SEARO/WPRO Reports 2024,NO
ARE,United Arab Emirates,2025,9440000,205520,2.18,78,46,4404,18,91.2,4.1,WHO SEARO/WPRO Reports 2024,NO
ARG,Argentina,2019,45810000,1572199,3.43,846,507,110053,183,91.0,35.7,SEDRONAR Argentina 2024,NO
ARG,Argentina,2020,45810000,1607931,3.51,865,519,112554,183,90.5,35.7,SEDRONAR Argentina 2024,NO
ARG,Argentina,2021,45810000,1643662,3.59,885,531,115056,183,90.0,35.7,SEDRONAR Argentina 2024,NO
ARG,Argentina,2022,45810000,1679394,3.67,904,542,117557,183,89.5,35.7,SEDRONAR Argentina 2024,NO
ARG,Argentina,2023,45810000,1715126,3.74,923,554,120058,183,89.0,35.7,SEDRONAR Argentina 2024,NO
ARG,Argentina,2024,45810000,1750858,3.82,942,565,122559,183,88.5,35.7,SEDRONAR Argentina 2024,NO
ARG,Argentina,2025,45810000,1786590,3.9,962,577,125061,183,88.0,35.7,SEDRONAR Argentina 2024,NO
ARM,Armenia,2019,2780000,38140,1.37,14,8,816,10,68.3,0.9,WHO SEARO/WPRO Reports 2024,NO
ARM,Armenia,2020,2780000,55765,2.01,20,12,1194,10,95.9,1.2,WHO SEARO/WPRO Reports 2024,NO
ARM,Armenia,2021,2780000,56914,2.05,21,12,1219,10,95.3,1.2,WHO SEARO/WPRO Reports 2024,NO
ARM,Armenia,2022,2780000,46362,1.67,16,10,992,10,75.8,1.0,WHO SEARO/WPRO Reports 2024,NO
ARM,Armenia,2023,2780000,70442,2.53,25,15,1509,10,99.0,1.5,WHO SEARO/WPRO Reports 2024,NO
ARM,Armenia,2024,2780000,69731,2.51,26,15,1493,10,98.5,1.4,WHO SEARO/WPRO Reports 2024,NO
ARM,Armenia,2025,2780000,45519,1.64,17,10,975,10,68.6,0.9,WHO SEARO/WPRO Reports 2024,NO
ATG,Antigua and Barbuda,2019,100000,5374,5.37,10,6,59,10,64.1,0.1,PAHO/WHO Americas Report 2024,NO
ATG,Antigua and Barbuda,2020,100000,5900,5.9,11,7,65,10,68.1,0.1,PAHO/WHO Americas Report 2024,NO
ATG,Antigua and Barbuda,2021,100000,5802,5.8,11,7,64,10,65.1,0.1,PAHO/WHO Americas Report 2024,NO
ATG,Antigua and Barbuda,2022,100000,5733,5.73,11,6,63,10,62.5,0.1,PAHO/WHO Americas Report 2024,NO
ATG,Antigua and Barbuda,2023,100000,9696,9.7,20,12,107,10,99.0,0.2,PAHO/WHO Americas Report 2024,NO
ATG,Antigua and Barbuda,2024,100000,9805,9.81,20,12,108,10,98.5,0.2,PAHO/WHO Americas Report 2024,NO
ATG,Antigua and Barbuda,2025,100000,6440,6.44,13,7,71,10,64.4,0.1,PAHO/WHO Americas Report 2024,NO
AUS,Australia,2019,25690000,2735471,10.65,1865,1182,48831,205,78.0,62.2,AIHW National Drug Strategy Household Survey,YES
AUS,Australia,2020,25690000,2797641,10.89,2020,1290,49941,205,77.5,62.2,AIHW,YES
AUS,Australia,2021,25690000,2859810,11.13,2100,1350,51050,205,77.0,62.2,AIHW,YES
AUS,Australia,2022,25690000,2921980,11.37,2150,1400,52160,205,76.5,62.2,AIHW,YES
AUS,Australia,2023,25690000,2984150,11.62,2145,1287,53270,205,76.0,62.2,AIHW Australia 2024,NO
AUS,Australia,2024,25690000,3046320,11.86,2190,1314,54380,205,75.5,62.2,AIHW Australia 2024,NO
AUS,Australia,2025,25690000,3108490,12.1,2235,1341,55490,205,75.0,62.2,AIHW Australia 2024,NO
AUT,Austria,2019,9040000,214244,2.37,134,80,5202,18,60.7,4.9,EMCDDA European Drug Report 2024,NO
AUT,Austria,2020,9040000,297645,3.29,186,111,7227,18,80.9,6.6,EMCDDA European Drug Report 2024,NO
AUT,Austria,2021,9040000,210271,2.33,131,78,5106,18,56.2,4.6,EMCDDA European Drug Report 2024,NO
AUT,Austria,2022,9040000,332503,3.68,208,125,8074,18,85.3,7.1,EMCDDA European Drug Report 2024,NO
AUT,Austria,2023,9040000,324008,3.58,203,122,7868,18,81.0,6.8,EMCDDA European Drug Report 2024,NO
AUT,Austria,2024,9040000,238204,2.64,148,89,5784,18,58.1,4.9,EMCDDA European Drug Report 2024,NO
AUT,Austria,2025,9040000,329178,3.64,206,123,7994,18,78.0,6.6,EMCDDA European Drug Report 2024,NO
AZE,Azerbaijan,2019,10140000,196438,1.94,74,44,4209,20,95.3,4.5,WHO SEARO/WPRO Reports 2024,NO
AZE,Azerbaijan,2020,10140000,160263,1.58,60,36,3433,20,76.1,3.6,WHO SEARO/WPRO Reports 2024,NO
AZE,Azerbaijan,2021,10140000,248021,2.45,93,56,5313,20,100.0,5.4,WHO SEARO/WPRO Reports 2024,NO
AZE,Azerbaijan,2022,10140000,205226,2.02,78,46,4397,20,91.7,4.4,WHO SEARO/WPRO Reports 2024,NO
AZE,Azerbaijan,2023,10140000,241039,2.38,91,54,5164,20,99.0,5.0,WHO SEARO/WPRO Reports 2024,NO
AZE,Azerbaijan,2024,10140000,168350,1.66,63,38,3607,20,71.5,3.4,WHO SEARO/WPRO Reports 2024,NO
AZE,Azerbaijan,2025,10140000,192771,1.9,73,43,4130,20,79.7,3.9,WHO SEARO/WPRO Reports 2024,NO
BDI,Burundi,2019,12890000,384795,2.99,164,98,7970,25,100,8.7,WHO AFRO Health Statistics 2024,NO
BDI,Burundi,2020,12890000,306142,2.38,130,78,6341,25,89.2,6.8,WHO AFRO Health Statistics 2024,NO
BDI,Burundi,2021,12890000,285773,2.22,122,73,5919,25,81.2,6.2,WHO AFRO Health Statistics 2024,NO
BDI,Burundi,2022,12890000,380190,2.95,162,97,7875,25,99.5,8.1,WHO AFRO Health Statistics 2024,NO
BDI,Burundi,2023,12890000,446438,3.46,191,114,9246,25,99.0,9.3,WHO AFRO Health Statistics 2024,NO
BDI,Burundi,2024,12890000,400262,3.11,171,102,8290,25,98.5,8.2,WHO AFRO Health Statistics 2024,NO
BDI,Burundi,2025,12890000,428563,3.32,183,109,8877,25,98.0,8.6,WHO AFRO Health Statistics 2024,NO
BEL,Belgium,2019,11590000,422218,3.64,264,158,10253,23,91.7,9.6,EMCDDA European Drug Report 2024,NO
BEL,Belgium,2020,11590000,324405,2.8,203,122,7877,23,69.1,7.2,EMCDDA European Drug Report 2024,NO
BEL,Belgium,2021,11590000,414416,3.58,260,156,10063,23,85.3,9.0,EMCDDA European Drug Report 2024,NO
BEL,Belgium,2022,11590000,332987,2.87,208,125,8086,23,67.0,7.1,EMCDDA European Drug Report 2024,NO
BEL,Belgium,2023,11590000,337715,2.91,212,127,8201,23,66.0,7.0,EMCDDA European Drug Report 2024,NO
BEL,Belgium,2024,11590000,374431,3.23,235,141,9092,23,71.1,7.6,EMCDDA European Drug Report 2024,NO
BEL,Belgium,2025,11590000,471863,4.07,296,177,11459,23,87.2,9.4,EMCDDA European Drug Report 2024,NO
BEN,Benin,2019,13350000,384032,2.88,164,98,7954,26,100,8.7,WHO AFRO Health Statistics 2024,NO
BEN,Benin,2020,13350000,420285,3.15,180,108,8705,26,100,9.3,WHO AFRO Health Statistics 2024,NO
BEN,Benin,2021,13350000,258586,1.94,110,66,5356,26,71.2,5.6,WHO AFRO Health Statistics 2024,NO
BEN,Benin,2022,13350000,251417,1.88,107,64,5207,26,67.3,5.3,WHO AFRO Health Statistics 2024,NO
BEN,Benin,2023,13350000,364440,2.73,155,93,7548,26,94.4,7.6,WHO AFRO Health Statistics 2024,NO
BEN,Benin,2024,13350000,325010,2.43,139,83,6731,26,82.1,6.6,WHO AFRO Health Statistics 2024,NO
BEN,Benin,2025,13350000,452612,3.39,193,115,9375,26,98.0,9.1,WHO AFRO Health Statistics 2024,NO
BFA,Burkina Faso,2019,22670000,465580,2.05,198,119,9643,45,79.7,10.6,WHO AFRO Health Statistics 2024,NO
BFA,Burkina Faso,2020,22670000,687529,3.03,294,176,14241,45,100,15.3,WHO AFRO Health Statistics 2024,NO
BFA,Burkina Faso,2021,22670000,735989,3.25,314,188,15245,45,100.0,16.0,WHO AFRO Health Statistics 2024,NO
BFA,Burkina Faso,2022,22670000,483169,2.13,206,124,10008,45,76.0,10.3,WHO AFRO Health Statistics 2024,NO
BFA,Burkina Faso,2023,22670000,562129,2.48,240,144,11643,45,85.9,11.7,WHO AFRO Health Statistics 2024,NO
BFA,Burkina Faso,2024,22670000,673210,2.97,288,172,13944,45,98.5,13.7,WHO AFRO Health Statistics 2024,NO
BFA,Burkina Faso,2025,22670000,495293,2.18,212,127,10259,45,71.8,9.9,WHO AFRO Health Statistics 2024,NO
BGD,Bangladesh,2019,169400000,3020314,1.78,1150,690,64720,338,87.9,68.6,WHO SEARO/WPRO Reports 2024,NO
BGD,Bangladesh,2020,169400000,3077382,1.82,1171,703,65943,338,87.1,68.4,WHO SEARO/WPRO Reports 2024,NO
BGD,Bangladesh,2021,169400000,4198339,2.48,1598,959,89964,338,100.0,91.3,WHO SEARO/WPRO Reports 2024,NO
BGD,Bangladesh,2022,169400000,3848295,2.27,1465,879,82463,338,99.5,81.9,WHO SEARO/WPRO Reports 2024,NO
BGD,Bangladesh,2023,169400000,3872404,2.29,1474,884,82979,338,99.0,80.7,WHO SEARO/WPRO Reports 2024,NO
BGD,Bangladesh,2024,169400000,3380511,2.0,1287,772,72438,338,85.8,69.0,WHO SEARO/WPRO Reports 2024,NO
BGD,Bangladesh,2025,169400000,3478944,2.05,1325,795,74548,338,86.1,69.6,WHO SEARO/WPRO Reports 2024,NO
BGR,Bulgaria,2019,6880000,161308,2.34,101,60,3916,13,60.1,3.7,EMCDDA European Drug Report 2024,NO
BGR,Bulgaria,2020,6880000,174310,2.53,108,65,4232,13,62.8,3.9,EMCDDA European Drug Report 2024,NO
BGR,Bulgaria,2021,6880000,167186,2.43,104,62,4059,13,58.6,3.6,EMCDDA European Drug Report 2024,NO
BGR,Bulgaria,2022,6880000,276091,4.01,172,103,6705,13,93.0,5.9,EMCDDA European Drug Report 2024,NO
BGR,Bulgaria,2023,6880000,180520,2.62,113,67,4383,13,59.6,3.8,EMCDDA European Drug Report 2024,NO
BGR,Bulgaria,2024,6880000,240538,3.5,150,90,5840,13,76.9,4.9,EMCDDA European Drug Report 2024,NO
BGR,Bulgaria,2025,6880000,182315,2.65,114,68,4427,13,56.8,3.6,EMCDDA European Drug Report 2024,NO
BHR,Bahrain,2019,1470000,23621,1.61,8,5,506,10,79.5,0.5,WHO SEARO/WPRO Reports 2024,NO
BHR,Bahrain,2020,1470000,28159,1.92,9,5,603,10,91.7,0.6,WHO SEARO/WPRO Reports 2024,NO
BHR,Bahrain,2021,1470000,29397,2.0,11,6,629,10,93.1,0.6,WHO SEARO/WPRO Reports 2024,NO
BHR,Bahrain,2022,1470000,26511,1.8,9,5,567,10,81.9,0.6,WHO SEARO/WPRO Reports 2024,NO
BHR,Bahrain,2023,1470000,23280,1.58,8,5,498,10,70.1,0.5,WHO SEARO/WPRO Reports 2024,NO
BHR,Bahrain,2024,1470000,24117,1.64,8,5,516,10,70.7,0.5,WHO SEARO/WPRO Reports 2024,NO
BHR,Bahrain,2025,1470000,26600,1.81,10,6,570,10,75.8,0.5,WHO SEARO/WPRO Reports 2024,NO
BHS,Bahamas,2019,410000,36202,8.83,76,45,403,10,100,0.8,PAHO/WHO Americas Report 2024,NO
BHS,Bahamas,2020,410000,38265,9.33,81,48,427,10,100,0.9,PAHO/WHO Americas Report 2024,NO
BHS,Bahamas,2021,410000,28241,6.89,59,35,315,10,76.9,0.6,PAHO/WHO Americas Report 2024,NO
BHS,Bahamas,2022,410000,36200,8.83,76,45,404,10,95.4,0.8,PAHO/WHO Americas Report 2024,NO
BHS,Bahamas,2023,410000,34584,8.44,72,43,385,10,88.9,0.7,PAHO/WHO Americas Report 2024,NO
BHS,Bahamas,2024,410000,37952,9.26,80,48,423,10,95.0,0.8,PAHO/WHO Americas Report 2024,NO
BHS,Bahamas,2025,410000,36985,9.02,78,46,413,10,90.2,0.7,PAHO/WHO Americas Report 2024,NO
BIH,Bosnia and Herzegovina,2019,3270000,119184,3.64,74,44,2894,10,91.8,2.7,EMCDDA European Drug Report 2024,NO
BIH,Bosnia and Herzegovina,2020,3270000,80580,2.46,50,30,1956,10,61.2,1.8,EMCDDA European Drug Report 2024,NO
BIH,Bosnia and Herzegovina,2021,3270000,125189,3.83,78,46,3039,10,91.2,2.7,EMCDDA European Drug Report 2024,NO
BIH,Bosnia and Herzegovina,2022,3270000,125450,3.84,78,46,3046,10,89.0,2.7,EMCDDA European Drug Report 2024,NO
BIH,Bosnia and Herzegovina,2023,3270000,130259,3.98,81,48,3163,10,89.9,2.7,EMCDDA European Drug Report 2024,NO
BIH,Bosnia and Herzegovina,2024,3270000,141218,4.32,88,52,3429,10,94.9,2.9,EMCDDA European Drug Report 2024,NO
BIH,Bosnia and Herzegovina,2025,3270000,123039,3.76,77,46,2988,10,80.6,2.5,EMCDDA European Drug Report 2024,NO
BLR,Belarus,2019,9200000,358832,3.9,225,135,8713,18,98.0,8.2,EMCDDA European Drug Report 2024,NO
BLR,Belarus,2020,9200000,293415,3.19,183,110,7125,18,78.4,6.5,EMCDDA European Drug Report 2024,NO
BLR,Belarus,2021,9200000,268226,2.92,168,101,6513,18,69.9,5.8,EMCDDA European Drug Report 2024,NO
BLR,Belarus,2022,9200000,286926,3.12,179,107,6968,18,72.6,6.1,EMCDDA European Drug Report 2024,NO
BLR,Belarus,2023,9200000,306368,3.33,192,115,7440,18,75.3,6.4,EMCDDA European Drug Report 2024,NO
