Country Code,Country Name,Year,DB Opioid Deaths,Authoritative Opioid Deaths,Opioid Diff %,DB Drug OD Deaths,Authoritative Drug OD Deaths,Drug OD Diff %,Status,Severity,Source,Source URL
AFG,Afghanistan,2019,171,,,285,,,NO_AUTH_DATA,,WHO SEARO/WPRO Reports 2024,https://www.who.int/data/gho
AFG,Afghanistan,2020,152,,,254,,,NO_AUTH_DATA,,WHO SEARO/WPRO Reports 2024,https://www.who.int/data/gho
AFG,Afghanistan,2021,141,,,235,,,NO_AUTH_DATA,,WHO SEARO/WPRO Reports 2024,https://www.who.int/data/gho
AFG,Afghanistan,2022,188,,,313,,,NO_AUTH_DATA,,WHO SEARO/WPRO Reports 2024,https://www.who.int/data/gho
AFG,Afghanistan,2023,172,,,288,,,NO_AUTH_DATA,,WHO SEARO/WPRO Reports 2024,https://www.who.int/data/gho
AFG,Afghanistan,2024,147,,,245,,,NO_AUTH_DATA,,WHO SEARO/WPRO Reports 2024,https://www.who.int/data/gho
AFG,Afghanistan,2025,218,,,364,,,NO_AUTH_DATA,,WHO SEARO/WPRO Reports 2024,https://www.who.int/data/gho
AGO,Angola,2019,226,,,377,,,NO_AUTH_DATA,,WHO AFRO Health Statistics 2024,https://www.afro.who.int/health-topics/substance-abuse
AGO,Angola,2020,270,,,450,,,NO_AUTH_DATA,,WHO AFRO Health Statistics 2024,https://www.afro.who.int/health-topics/substance-abuse
AGO,Angola,2021,296,,,494,,,NO_AUTH_DATA,,WHO AFRO Health Statistics 2024,https://www.afro.who.int/health-topics/substance-abuse
AGO,Angola,2022,243,,,405,,,NO_AUTH_DATA,,WHO AFRO Health Statistics 2024,https://www.afro.who.int/health-topics/substance-abuse
AGO,Angola,2023,265,,,442,,,NO_AUTH_DATA,,WHO AFRO Health Statistics 2024,https://www.afro.who.int/health-topics/substance-abuse
AGO,Angola,2024,256,,,427,,,NO_AUTH_DATA,,WHO AFRO Health Statistics 2024,https://www.afro.who.int/health-topics/substance-abuse
AGO,Angola,2025,244,,,408,,,NO_AUTH_DATA,,WHO AFRO Health Statistics 2024,https://www.afro.who.int/health-topics/substance-abuse
ALB,Albania,2019,24,,,41,,,NO_AUTH_DATA,,EMCDDA European Drug Report 2024,https://www.emcdda.europa.eu/edr2024
ALB,Albania,2020,32,,,54,,,NO_AUTH_DATA,,EMCDDA European Drug Report 2024,https://www.emcdda.europa.eu/edr2024
ALB,Albania,2021,34,,,57,,,NO_AUTH_DATA,,EMCDDA European Drug Report 2024,https://www.emcdda.europa.eu/edr2024
ALB,Albania,2022,31,,,52,,,NO_AUTH_DATA,,EMCDDA European Drug Report 2024,https://www.emcdda.europa.eu/edr2024
ALB,Albania,2023,39,,,65,,,NO_AUTH_DATA,,EMCDDA European Drug Report 2024,https://www.emcdda.europa.eu/edr2024
ALB,Albania,2024,33,,,55,,,NO_AUTH_DATA,,EMCDDA European Drug Report 2024,https://www.emcdda.europa.eu/edr2024
ALB,Albania,2025,48,,,81,,,NO_AUTH_DATA,,EMCDDA European Drug Report 2024,https://www.emcdda.europa.eu/edr2024
AND,Andorra,2019,1,,,1,,,NO_AUTH_DATA,,EMCDDA European Drug Report 2024,https://www.emcdda.europa.eu/edr2024
AND,Andorra,2020,0,,,0,,,NO_AUTH_DATA,,EMCDDA European Drug Report 2024,https://www.emcdda.europa.eu/edr2024
AND,Andorra,2021,0,,,0,,,NO_AUTH_DATA,,EMCDDA European Drug Report 2024,https://www.emcdda.europa.eu/edr2024
AND,Andorra,2022,0,,,0,,,NO_AUTH_DATA,,EMCDDA European Drug Report 2024,https://www.emcdda.europa.eu/edr2024
AND,Andorra,2023,0,,,0,,,NO_AUTH_DATA,,EMCDDA European Drug Report 2024,https://www.emcdda.europa.eu/edr2024
AND,Andorra,2024,0,,,0,,,NO_AUTH_DATA,,EMCDDA European Drug Report 2024,https://www.emcdda.europa.eu/edr2024
AND,Andorra,2025,0,,,1,,,NO_AUTH_DATA,,EMCDDA European Drug Report 2024,https://www.emcdda.europa.eu/edr2024
ARE,United Arab Emirates,2019,44,,,73,,,NO_AUTH_DATA,,WHO SEARO/WPRO Reports 2024,https://www.who.int/data/gho
ARE,United Arab Emirates,2020,43,,,72,,,NO_AUTH_DATA,,WHO SEARO/WPRO Reports 2024,https://www.who.int/data/gho
ARE,United Arab Emirates,2021,46,,,77,,,NO_AUTH_DATA,,WHO SEARO/WPRO Reports 2024,https://www.who.int/data/gho
ARE,United Arab Emirates,2022,33,,,56,,,NO_AUTH_DATA,,WHO SEARO/WPRO Reports 2024,https://www.who.int/data/gho
ARE,United Arab Emirates,2023,47,,,79,,,NO_AUTH_DATA,,WHO SEARO/WPRO Reports 2024,https://www.who.int/data/gho
ARE,United Arab Emirates,2024,48,,,80,,,NO_AUTH_DATA,,WHO SEARO/WPRO Reports 2024,https://www.who.int/data/gho
ARE,United Arab Emirates,2025,46,,,78,,,NO_AUTH_DATA,,WHO SEARO/WPRO Reports 2024,https://www.who.int/data/gho
ARG,Argentina,2019,507,,,846,,,NO_AUTH_DATA,,SEDRONAR Argentina 2024,https://www.argentina.gob.ar/sedronar
ARG,Argentina,2020,519,,,865,,,NO_AUTH_DATA,,SEDRONAR Argentina 2024,https://www.argentina.gob.ar/sedronar
ARG,Argentina,2021,531,,,885,,,NO_AUTH_DATA,,SEDRONAR Argentina 2024,https://www.argentina.gob.ar/sedronar
ARG,Argentina,2022,542,,,904,,,NO_AUTH_DATA,,SEDRONAR Argentina 2024,https://www.argentina.gob.ar/sedronar
ARG,Argentina,2023,554,,,923,,,NO_AUTH_DATA,,SEDRONAR Argentina 2024,https://www.argentina.gob.ar/sedronar
ARG,Argentina,2024,565,,,942,,,NO_AUTH_DATA,,SEDRONAR Argentina 2024,https://www.argentina.gob.ar/sedronar
ARG,Argentina,2025,577,,,962,,,NO_AUTH_DATA,,SEDRONAR Argentina 2024,https://www.argentina.gob.ar/sedronar
ARM,Armenia,2019,8,,,14,,,NO_AUTH_DATA,,WHO SEARO/WPRO Reports 2024,https://www.who.int/data/gho
ARM,Armenia,2020,12,,,20,,,NO_AUTH_DATA,,WHO SEARO/WPRO Reports 2024,https://www.who.int/data/gho
ARM,Armenia,2021,12,,,21,,,NO_AUTH_DATA,,WHO SEARO/WPRO Reports 2024,https://www.who.int/data/gho
ARM,Armenia,2022,10,,,16,,,NO_AUTH_DATA,,WHO SEARO/WPRO Reports 2024,https://www.who.int/data/gho
ARM,Armenia,2023,15,,,25,,,NO_AUTH_DATA,,WHO SEARO/WPRO Reports 2024,https://www.who.int/data/gho
ARM,Armenia,2024,15,,,26,,,NO_AUTH_DATA,,WHO SEARO/WPRO Reports 2024,https://www.who.int/data/gho
ARM,Armenia,2025,10,,,17,,,NO_AUTH_DATA,,WHO SEARO/WPRO Reports 2024,https://www.who.int/data/gho
ATG,Antigua and Barbuda,2019,6,,,10,,,NO_AUTH_DATA,,PAHO/WHO Americas Report 2024,https://www.paho.org/en/topics/substance-use
ATG,Antigua and Barbuda,2020,7,,,11,,,NO_AUTH_DATA,,PAHO/WHO Americas Report 2024,https://www.paho.org/en/topics/substance-use
ATG,Antigua and Barbuda,2021,7,,,11,,,NO_AUTH_DATA,,PAHO/WHO Americas Report 2024,https://www.paho.org/en/topics/substance-use
ATG,Antigua and Barbuda,2022,6,,,11,,,NO_AUTH_DATA,,PAHO/WHO Americas Report 2024,https://www.paho.org/en/topics/substance-use
ATG,Antigua and Barbuda,2023,12,,,20,,,NO_AUTH_DATA,,PAHO/WHO Americas Report 2024,https://www.paho.org/en/topics/substance-use
ATG,Antigua and Barbuda,2024,12,,,20,,,NO_AUTH_DATA,,PAHO/WHO Americas Report 2024,https://www.paho.org/en/topics/substance-use
ATG,Antigua and Barbuda,2025,7,,,13,,,NO_AUTH_DATA,,PAHO/WHO Americas Report 2024,https://www.paho.org/en/topics/substance-use
AUS,Australia,2019,1180,1182,0.2%,1966,1865,5.4%,OK,LOW,AIHW National Drug Strategy Household Survey,https://www.aihw.gov.au/reports/illicit-use-of-drugs/drug-related-deaths
AUS,Australia,2020,1206,1290,6.5%,2011,2020,0.4%,OK,LOW,AIHW,https://www.aihw.gov.au/reports/illicit-use-of-drugs/drug-related-deaths
AUS,Australia,2021,1233,1350,8.7%,2056,2100,2.1%,OK,LOW,AIHW,https://www.aihw.gov.au/reports/illicit-use-of-drugs/drug-related-deaths
AUS,Australia,2022,1260,1400,10.0%,2100,2150,2.3%,OK,LOW,AIHW,https://www.aihw.gov.au/reports/illicit-use-of-drugs/drug-related-deaths
AUS,Australia,2023,1287,,,2145,,,NO_AUTH_DATA,,AIHW Australia 2024,https://www.aihw.gov.au
AUS,Australia,2024,1314,,,2190,,,NO_AUTH_DATA,,AIHW Australia 2024,https://www.aihw.gov.au
AUS,Australia,2025,1341,,,2235,,,NO_AUTH_DATA,,AIHW Australia 2024,https://www.aihw.gov.au
AUT,Austria,2019,80,,,134,,,NO_AUTH_DATA,,EMCDDA European Drug Report 2024,https://www.emcdda.europa.eu/edr2024
AUT,Austria,2020,111,,,186,,,NO_AUTH_DATA,,EMCDDA European Drug Report 2024,https://www.emcdda.europa.eu/edr2024
AUT,Austria,2021,78,,,131,,,NO_AUTH_DATA,,EMCDDA European Drug Report 2024,https://www.emcdda.europa.eu/edr2024
AUT,Austria,2022,125,,,208,,,NO_AUTH_DATA,,EMCDDA European Drug Report 2024,https://www.emcdda.europa.eu/edr2024
AUT,Austria,2023,122,,,203,,,NO_AUTH_DATA,,EMCDDA European Drug Report 2024,https://www.emcdda.europa.eu/edr2024
AUT,Austria,2024,89,,,148,,,NO_AUTH_DATA,,EMCDDA European Drug Report 2024,https://www.emcdda.europa.eu/edr2024
AUT,Austria,2025,123,,,206,,,NO_AUTH_DATA,,EMCDDA European Drug Report 2024,https://www.emcdda.europa.eu/edr2024
AZE,Azerbaijan,2019,44,,,74,,,NO_AUTH_DATA,,WHO SEARO/WPRO Reports 2024,https://www.who.int/data/gho
AZE,Azerbaijan,2020,36,,,60,,,NO_AUTH_DATA,,WHO SEARO/WPRO Reports 2024,https://www.who.int/data/gho
AZE,Azerbaijan,2021,56,,,93,,,NO_AUTH_DATA,,WHO SEARO/WPRO Reports 2024,https://www.who.int/data/gho
AZE,Azerbaijan,2022,46,,,78,,,NO_AUTH_DATA,,WHO SEARO/WPRO Reports 2024,https://www.who.int/data/gho
AZE,Azerbaijan,2023,54,,,91,,,NO_AUTH_DATA,,WHO SEARO/WPRO Reports 2024,https://www.who.int/data/gho
AZE,Azerbaijan,2024,38,,,63,,,NO_AUTH_DATA,,WHO SEARO/WPRO Reports 2024,https://www.who.int/data/gho
AZE,Azerbaijan,2025,43,,,73,,,NO_AUTH_DATA,,WHO SEARO/WPRO Reports 2024,https://www.who.int/data/gho
BDI,Burundi,2019,98,,,164,,,NO_AUTH_DATA,,WHO AFRO Health Statistics 2024,https://www.afro.who.int/health-topics/substance-abuse
BDI,Burundi,2020,78,,,130,,,NO_AUTH_DATA,,WHO AFRO Health Statistics 2024,https://www.afro.who.int/health-topics/substance-abuse
BDI,Burundi,2021,73,,,122,,,NO_AUTH_DATA,,WHO AFRO Health Statistics 2024,https://www.afro.who.int/health-topics/substance-abuse
BDI,Burundi,2022,97,,,162,,,NO_AUTH_DATA,,WHO AFRO Health Statistics 2024,https://www.afro.who.int/health-topics/substance-abuse
BDI,Burundi,2023,114,,,191,,,NO_AUTH_DATA,,WHO AFRO Health Statistics 2024,https://www.afro.who.int/health-topics/substance-abuse
BDI,Burundi,2024,102,,,171,,,NO_AUTH_DATA,,WHO AFRO Health Statistics 2024,https://www.afro.who.int/health-topics/substance-abuse
BDI,Burundi,2025,109,,,183,,,NO_AUTH_DATA,,WHO AFRO Health Statistics 2024,https://www.afro.who.int/health-topics/substance-abuse
BEL,Belgium,2019,158,,,264,,,NO_AUTH_DATA,,EMCDDA European Drug Report 2024,https://www.emcdda.europa.eu/edr2024
BEL,Belgium,2020,122,,,203,,,NO_AUTH_DATA,,EMCDDA European Drug Report 2024,https://www.emcdda.europa.eu/edr2024
BEL,Belgium,2021,156,,,260,,,NO_AUTH_DATA,,EMCDDA European Drug Report 2024,https://www.emcdda.europa.eu/edr2024
BEL,Belgium,2022,125,,,208,,,NO_AUTH_DATA,,EMCDDA European Drug Report 2024,https://www.emcdda.europa.eu/edr2024
BEL,Belgium,2023,127,,,212,,,NO_AUTH_DATA,,EMCDDA European Drug Report 2024,https://www.emcdda.europa.eu/edr2024
BEL,Belgium,2024,141,,,235,,,NO_AUTH_DATA,,EMCDDA European Drug Report 2024,https://www.emcdda.europa.eu/edr2024
BEL,Belgium,2025,177,,,296,,,NO_AUTH_DATA,,EMCDDA European Drug Report 2024,https://www.emcdda.europa.eu/edr2024
BEN,Benin,2019,98,,,164,,,NO_AUTH_DATA,,WHO AFRO Health Statistics 2024,https://www.afro.who.int/health-topics/substance-abuse
BEN,Benin,2020,108,,,180,,,NO_AUTH_DATA,,WHO AFRO Health Statistics 2024,https://www.afro.who.int/health-topics/substance-abuse
BEN,Benin,2021,66,,,110,,,NO_AUTH_DATA,,WHO AFRO Health Statistics 2024,https://www.afro.who.int/health-topics/substance-abuse
BEN,Benin,2022,64,,,107,,,NO_AUTH_DATA,,WHO AFRO Health Statistics 2024,https://www.afro.who.int/health-topics/substance-abuse
BEN,Benin,2023,93,,,155,,,NO_AUTH_DATA,,WHO AFRO Health Statistics 2024,https://www.afro.who.int/health-topics/substance-abuse
BEN,Benin,2024,83,,,139,,,NO_AUTH_DATA,,WHO AFRO Health Statistics 2024,https://www.afro.who.int/health-topics/substance-abuse
BEN,Benin,2025,115,,,193,,,NO_AUTH_DATA,,WHO AFRO Health Statistics 2024,https://www.afro.who.int/health-topics/substance-abuse
BFA,Burkina Faso,2019,119,,,198,,,NO_AUTH_DATA,,WHO AFRO Health Statistics 2024,https://www.afro.who.int/health-topics/substance-abuse
BFA,Burkina Faso,2020,176,,,294,,,NO_AUTH_DATA,,WHO AFRO Health Statistics 2024,https://www.afro.who.int/health-topics/substance-abuse
BFA,Burkina Faso,2021,188,,,314,,,NO_AUTH_DATA,,WHO AFRO Health Statistics 2024,https://www.afro.who.int/health-topics/substance-abuse
BFA,Burkina Faso,2022,124,,,206,,,NO_AUTH_DATA,,WHO AFRO Health Statistics 2024,https://www.afro.who.int/health-topics/substance-abuse
BFA,Burkina Faso,2023,144,,,240,,,NO_AUTH_DATA,,WHO AFRO Health Statistics 2024,https://www.afro.who.int/health-topics/substance-abuse
BFA,Burkina Faso,2024,172,,,288,,,NO_AUTH_DATA,,WHO AFRO Health Statistics 2024,https://www.afro.who.int/health-topics/substance-abuse
BFA,Burkina Faso,2025,127,,,212,,,NO_AUTH_DATA,,WHO AFRO Health Statistics 2024,https://www.afro.who.int/health-topics/substance-abuse
BGD,Bangladesh,2019,690,,,1150,,,NO_AUTH_DATA,,WHO SEARO/WPRO Reports 2024,https://www.who.int/data/gho
BGD,Bangladesh,2020,703,,,1171,,,NO_AUTH_DATA,,WHO SEARO/WPRO Reports 2024,https://www.who.int/data/gho
BGD,Bangladesh,2021,959,,,1598,,,NO_AUTH_DATA,,WHO SEARO/WPRO Reports 2024,https://www.who.int/data/gho
BGD,Bangladesh,2022,879,,,1465,,,NO_AUTH_DATA,,WHO SEARO/WPRO Reports 2024,https://www.who.int/data/gho
BGD,Bangladesh,2023,884,,,1474,,,NO_AUTH_DATA,,WHO SEARO/WPRO Reports 2024,https://www.who.int/data/gho
BGD,Bangladesh,2024,772,,,1287,,,NO_AUTH_DATA,,WHO SEARO/WPRO Reports 2024,https://www.who.int/data/gho
BGD,Bangladesh,2025,795,,,1325,,,NO_AUTH_DATA,,WHO SEARO/WPRO Reports 2024,https://www.who.int/data/gho
BGR,Bulgaria,2019,60,,,101,,,NO_AUTH_DATA,,EMCDDA European Drug Report 2024,https://www.emcdda.europa.eu/edr2024
BGR,Bulgaria,2020,65,,,108,,,NO_AUTH_DATA,,EMCDDA European Drug Report 2024,https://www.emcdda.europa.eu/edr2024
BGR,Bulgaria,2021,62,,,104,,,NO_AUTH_DATA,,EMCDDA European Drug Report 2024,https://www.emcdda.europa.eu/edr2024
BGR,Bulgaria,2022,103,,,172,,,NO_AUTH_DATA,,EMCDDA European Drug Report 2024,https://www.emcdda.europa.eu/edr2024
BGR,Bulgaria,2023,67,,,113,,,NO_AUTH_DATA,,EMCDDA European Drug Report 2024,https://www.emcdda.europa.eu/edr2024
BGR,Bulgaria,2024,90,,,150,,,NO_AUTH_DATA,,EMCDDA European Drug Report 2024,https://www.emcdda.europa.eu/edr2024
BGR,Bulgaria,2025,68,,,114,,,NO_AUTH_DATA,,EMCDDA European Drug Report 2024,https://www.emcdda.europa.eu/edr2024
BHR,Bahrain,2019,5,,,8,,,NO_AUTH_DATA,,WHO SEARO/WPRO Reports 2024,https://www.who.int/data/gho
BHR,Bahrain,2020,5,,,9,,,NO_AUTH_DATA,,WHO SEARO/WPRO Reports 2024,https://www.who.int/data/gho
BHR,Bahrain,2021,6,,,11,,,NO_AUTH_DATA,,WHO SEARO/WPRO Reports 2024,https://www.who.int/data/gho
BHR,Bahrain,2022,5,,,9,,,NO_AUTH_DATA,,WHO SEARO/WPRO Reports 2024,https://www.who.int/data/gho
BHR,Bahrain,2023,5,,,8,,,NO_AUTH_DATA,,WHO SEARO/WPRO Reports 2024,https://www.who.int/data/gho
BHR,Bahrain,2024,5,,,8,,,NO_AUTH_DATA,,WHO SEARO/WPRO Reports 2024,https://www.who.int/data/gho
BHR,Bahrain,2025,6,,,10,,,NO_AUTH_DATA,,WHO SEARO/WPRO Reports 2024,https://www.who.int/data/gho
BHS,Bahamas,2019,45,,,76,,,NO_AUTH_DATA,,PAHO/WHO Americas Report 2024,https://www.paho.org/en/topics/substance-use
BHS,Bahamas,2020,48,,,81,,,NO_AUTH_DATA,,PAHO/WHO Americas Report 2024,https://www.paho.org/en/topics/substance-use
BHS,Bahamas,2021,35,,,59,,,NO_AUTH_DATA,,PAHO/WHO Americas Report 2024,https://www.paho.org/en/topics/substance-use
BHS,Bahamas,2022,45,,,76,,,NO_AUTH_DATA,,PAHO/WHO Americas Report 2024,https://www.paho.org/en/topics/substance-use
BHS,Bahamas,2023,43,,,72,,,NO_AUTH_DATA,,PAHO/WHO Americas Report 2024,https://www.paho.org/en/topics/substance-use
BHS,Bahamas,2024,48,,,80,,,NO_AUTH_DATA,,PAHO/WHO Americas Report 2024,https://www.paho.org/en/topics/substance-use
BHS,Bahamas,2025,46,,,78,,,NO_AUTH_DATA,,PAHO/WHO Americas Report 2024,https://www.paho.org/en/topics/substance-use
BIH,Bosnia and Herzegovina,2019,44,,,74,,,NO_AUTH_DATA,,EMCDDA European Drug Report 2024,https://www.emcdda.europa.eu/edr2024
BIH,Bosnia and Herzegovina,2020,30,,,50,,,NO_AUTH_DATA,,EMCDDA European Drug Report 2024,https://www.emcdda.europa.eu/edr2024
BIH,Bosnia and Herzegovina,2021,46,,,78,,,NO_AUTH_DATA,,EMCDDA European Drug Report 2024,https://www.emcdda.europa.eu/edr2024
BIH,Bosnia and Herzegovina,2022,46,,,78,,,NO_AUTH_DATA,,EMCDDA European Drug Report 2024,https://www.emcdda.europa.eu/edr2024
BIH,Bosnia and Herzegovina,2023,48,,,81,,,NO_AUTH_DATA,,EMCDDA European Drug Report 2024,https://www.emcdda.europa.eu/edr2024
BIH,Bosnia and Herzegovina,2024,52,,,88,,,NO_AUTH_DATA,,EMCDDA European Drug Report 2024,https://www.emcdda.europa.eu/edr2024
BIH,Bosnia and Herzegovina,2025,46,,,77,,,NO_AUTH_DATA,,EMCDDA European Drug Report 2024,https://www.emcdda.europa.eu/edr2024
BLR,Belarus,2019,135,,,225,,,NO_AUTH_DATA,,EMCDDA European Drug Report 2024,https://www.emcdda.europa.eu/edr2024
BLR,Belarus,2020,110,,,183,,,NO_AUTH_DATA,,EMCDDA European Drug Report 2024,https://www.emcdda.europa.eu/edr2024
BLR,Belarus,2021,101,,,168,,,NO_AUTH_DATA,,EMCDDA European Drug Report 2024,https://www.emcdda.europa.eu/edr2024
BLR,Belarus,2022,107,,,179,,,NO_AUTH_DATA,,EMCDDA European Drug Report 2024,https://www.emcdda.europa.eu/edr2024
BLR,Belarus,2023,115,,,192,,,NO_AUTH_DATA,,EMCDDA European Drug Report 2024,https://www.emcdda.europa.eu/edr2024
BLR,Belarus,2024,105,,,176,,,NO_AUTH_DATA,,EMCDDA European Drug Report 2024,https://www.emcdda.europa.eu/edr2024
BLR,Belarus,2025,88,,,148,,,NO_AUTH_DATA,,EMCDDA European Drug Report 2024,https://www.emcdda.europa.eu/edr2024
BLZ,Belize,2019,28,,,47,,,NO_AUTH_DATA,,PAHO/WHO Americas Report 2024,https://www.paho.org/en/topics/substance-use
BLZ,Belize,2020,29,,,49,,,NO_AUTH_DATA,,PAHO/WHO Americas Report 2024,https://www.paho.org/en/topics/substance-use
BLZ,Belize,2021,37,,,62,,,NO_AUTH_DATA,,PAHO/WHO Americas Report 2024,https://www.paho.org/en/topics/substance-use
BLZ,Belize,2022,53,,,89,,,NO_AUTH_DATA,,PAHO/WHO Americas Report 2024,https://www.paho.org/en/topics/substance-use
BLZ,Belize,2023,39,,,66,,,NO_AUTH_DATA,,PAHO/WHO Americas Report 2024,https://www.paho.org/en/topics/substance-use
BLZ,Belize,2024,47,,,79,,,NO_AUTH_DATA,,PAHO/WHO Americas Report 2024,https://www.paho.org/en/topics/substance-use
BLZ,Belize,2025,40,,,68,,,NO_AUTH_DATA,,PAHO/WHO Americas Report 2024,https://www.paho.org/en/topics/substance-use
BOL,Bolivia,2019,185,,,309,,,NO_AUTH_DATA,,OAS/CICAD Report 2024,http://www.cicad.oas.org
BOL,Bolivia,2020,210,,,351,,,NO_AUTH_DATA,,OAS/CICAD Report 2024,http://www.cicad.oas.org
BOL,Bolivia,2021,199,,,333,,,NO_AUTH_DATA,,OAS/CICAD Report 2024,http://www.cicad.oas.org
BOL,Bolivia,2022,170,,,284,,,NO_AUTH_DATA,,OAS/CICAD Report 2024,http://www.cicad.oas.org
BOL,Bolivia,2023,176,,,294,,,NO_AUTH_DATA,,OAS/CICAD Report 2024,http://www.cicad.oas.org
BOL,Bolivia,2024,189,,,315,,,NO_AUTH_DATA,,OAS/CICAD Report 2024,http://www.cicad.oas.org
BOL,Bolivia,2025,186,,,311,,,NO_AUTH_DATA,,OAS/CICAD Report 2024,http://www.cicad.oas.org
BRA,Brazil,2019,6562,1200,446.8%,10937,5500,98.9%,CRITICAL,HIGH,DATASUS/Ministry of Health Brazil,https://datasus.saude.gov.br/
BRA,Brazil,2020,6711,1350,397.1%,11186,5900,89.6%,CRITICAL,HIGH,DATASUS/Ministry of Health Brazil,https://datasus.saude.gov.br/
BRA,Brazil,2021,6860,1500,357.3%,11434,6400,78.7%,CRITICAL,HIGH,DATASUS/Ministry of Health Brazil,https://datasus.saude.gov.br/
BRA,Brazil,2022,7009,1650,324.8%,11683,6800,71.8%,CRITICAL,HIGH,DATASUS/Ministry of Health Brazil,https://datasus.saude.gov.br/
BRA,Brazil,2023,7159,,,11931,,,NO_AUTH_DATA,,SENAD Brazil 2024,https://www.gov.br/mj/senad
BRA,Brazil,2024,7308,,,12180,,,NO_AUTH_DATA,,SENAD Brazil 2024,https://www.gov.br/mj/senad
BRA,Brazil,2025,7457,,,12429,,,NO_AUTH_DATA,,SENAD Brazil 2024,https://www.gov.br/mj/senad
BRB,Barbados,2019,32,,,53,,,NO_AUTH_DATA,,PAHO/WHO Americas Report 2024,https://www.paho.org/en/topics/substance-use
BRB,Barbados,2020,26,,,44,,,NO_AUTH_DATA,,PAHO/WHO Americas Report 2024,https://www.paho.org/en/topics/substance-use
BRB,Barbados,2021,28,,,47,,,NO_AUTH_DATA,,PAHO/WHO Americas Report 2024,https://www.paho.org/en/topics/substance-use
BRB,Barbados,2022,31,,,52,,,NO_AUTH_DATA,,PAHO/WHO Americas Report 2024,https://www.paho.org/en/topics/substance-use
BRB,Barbados,2023,35,,,59,,,NO_AUTH_DATA,,PAHO/WHO Americas Report 2024,https://www.paho.org/en/topics/substance-use
BRB,Barbados,2024,32,,,54,,,NO_AUTH_DATA,,PAHO/WHO Americas Report 2024,https://www.paho.org/en/topics/substance-use
BRB,Barbados,2025,36,,,61,,,NO_AUTH_DATA,,PAHO/WHO Americas Report 2024,https://www.paho.org/en/topics/substance-use
BRN,Brunei,2019,2,,,3,,,NO_AUTH_DATA,,WHO SEARO/WPRO Reports 2024,https://www.who.int/data/gho
BRN,Brunei,2020,1,,,1,,,NO_AUTH_DATA,,WHO SEARO/WPRO Reports 2024,https://www.who.int/data/gho
BRN,Brunei,2021,1,,,2,,,NO_AUTH_DATA,,WHO SEARO/WPRO Reports 2024,https://www.who.int/data/gho
BRN,Brunei,2022,1,,,2,,,NO_AUTH_DATA,,WHO SEARO/WPRO Reports 2024,https://www.who.int/data/gho
BRN,Brunei,2023,1,,,1,,,NO_AUTH_DATA,,WHO SEARO/WPRO Reports 2024,https://www.who.int/data/gho
BRN,Brunei,2024,1,,,1,,,NO_AUTH_DATA,,WHO SEARO/WPRO Reports 2024,https://www.who.int/data/gho
BRN,Brunei,2025,1,,,2,,,NO_AUTH_DATA,,WHO SEARO/WPRO Reports 2024,https://www.who.int/data/gho
BTN,Bhutan,2019,3,,,6,,,NO_AUTH_DATA,,WHO SEARO/WPRO Reports 2024,https://www.who.int/data/gho
BTN,Bhutan,2020,3,,,6,,,NO_AUTH_DATA,,WHO SEARO/WPRO Reports 2024,https://www.who.int/data/gho
BTN,Bhutan,2021,2,,,3,,,NO_AUTH_DATA,,WHO SEARO/WPRO Reports 2024,https://www.who.int/data/gho
BTN,Bhutan,2022,3,,,6,,,NO_AUTH_DATA,,WHO SEARO/WPRO Reports 2024,https://www.who.int/data/gho
BTN,Bhutan,2023,2,,,4,,,NO_AUTH_DATA,,WHO SEARO/WPRO Reports 2024,https://www.who.int/data/gho
BTN,Bhutan,2024,3,,,5,,,NO_AUTH_DATA,,WHO SEARO/WPRO Reports 2024,https://www.who.int/data/gho
BTN,Bhutan,2025,2,,,4,,,NO_AUTH_DATA,,WHO SEARO/WPRO Reports 2024,https://www.who.int/data/gho
